strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,Word Origin,NASB
G1,ἄλφα,Indeclinable Letter (Noun),alpha,AL-fah,(al'-fah),Alpha,[of Hebrew origin],
G2,Ἀαρών,"Proper Noun, Indeclinable",Aarón,ah-ah-RONE,(ah-ar-ohn'),Aaron,[of Hebrew origin (,"Aaron, Aaron's"
G3,Ἀβαδδών,"Proper Noun, Indeclinable",Abaddón,ah-bah-DON,(ab-ad-dohn'),Abaddon,[of Hebrew origin (,Abaddon
G4,ἀβαρής,Adjective,abarés,ah-bar-ACE,(ab-ar-ace'),from being burdensome,[from,from being a burden
G5,Ἀββᾶ,"Proper Noun, Indeclinable",Abba,ahb-bah',(ab-bah'),Abba,[of Chaldee origin (H2)],Abba
G6,Ἅβελ,"Proper Noun, Indeclinable",Habel,HA-bel,(ab'-el),Abel,[of Hebrew origin (,Abel
G7,Ἀβιά,"Proper Noun, Indeclinable",Abia,ah-bee-AH,(ab-ee-ah'),Abia,[of Hebrew origin (,Abijah
G8,Ἀβιάθαρ,"Proper Noun, Indeclinable",Abiathar,ah-bee-AH-thar,(ab-ee-ath'-ar),Abiathar,[of Hebrew origin (,Abiathar
G9,Ἀβιληνή,"Noun, Feminine",Abiléné,ah-bee-lay-NAY,(ab-ee-lay-nay'),Abilene,[of foreign origin],Abilene
G10,Ἀβιούδ,"Proper Noun, Indeclinable",Abioud,ah-bee-OOD,(ab-ee-ood'),Abiud,[of Hebrew origin (,Abihud
G11,Ἀβραάμ,"Proper Noun, Indeclinable",Abraam,ah-brah-AHM,(ab-rah-am'),Abraham,[of Hebrew origin (,"Abraham, Abraham's"
G12,ἄβυσσος,"Noun, Feminine",abussos,ä'-bü-sos,(ab'-us-sos),"deep, (bottomless) pit",[from,"abyss, bottomless"
G13,Ἄγαβος,"Noun, Masculine",Agabos,AH-gah-bos,(ag'-ab-os),Agabus,[of Hebrew origin],Agabus
G14,ἀγαθοεργέω,Verb,agathoergeó,ag-ath-o-er-GEH-o,(ag-ath-er-gheh'-o),do good,[from,do good
G15,ἀγαθοποιέω,Verb,agathopoieó,ag-ath-op-oy-EH-o,(ag-ath-op-oy-eh'-o),(when) do good (well),[from,"do good, do what is right, do right, does good, doing right, doing what is right"
G16,ἀγαθοποιΐα,"Noun, Feminine",agathopoiia,ag-ath-op-oy-EE-ah,(ag-ath-op-oy-ee'-ah),well-doing,[from,"doing what, doing what is right"
G17,ἀγαθοποιός,Adjective,agathopoios,ag-ath-op-oy-os,(ag-ath-op-oy-os'),them that do well,[from,
G18,ἀγαθός,Adjective,agathos,ä-gä-thos',(ag-ath-os'),"benefit, good(-s, things), well",[a primary word],"good, good thing, good things, good man, goods, generous, goodness"
G19,ἀγαθωσύνη,"Noun, Feminine",agathosune,ag-ath-o-soo'-nay,(ag-ath-o-soo'-nay),goodness,[from,
G20,ἀγαλλίασις,"Noun, Feminine",agalliasis,ä-gäl-lē'-ä-sēs,(ag-al-lee'-as-is),"gladness, (exceeding) joy",[from,"gladness, great joy, joy"
G21,ἀγαλλιάω,Verb,agalliaó,ag-al-lee-ah'-o,(ag-al-lee-ah'-o),"be (exceeding) glad, with exceeding joy, rejoice (greatly)","[from agan ""much"" and","glad, greatly rejoice, rejoiced, rejoiced greatly, exultation, exulted, rejoice"
G22,ἄγαμος,"Noun, Feminine; Noun, Masculine",agamos,AH-gah-mos,(ag'-am-os),unmarried,[from,unmarried
G23,ἀγανακτέω,Verb,aganakteó,ag-an-ak-teh'-o,(ag-an-ak-teh'-o),"be much (sore) displeased, have (be moved with, with) indignation","[from agan ""much"" and achthos ""grief"" (akin to the base of","indignant, feel indignant, indignantly"
G24,ἀγανακτήσις,"Noun, Feminine",aganaktésis,ag-an-ak-TAY-sis,(ag-an-ak'-tay-sis),indignation,[from,indignation
G25,ἀγαπάω,Verb,agapaó,ä-gä-pä'-ō,(ag-ap-ah'-o),(be-)love(-ed),"[perhaps from agan ""much"" or Hebrew agab]","love, loved, loves, beloved, felt a love for"
G26,ἀγάπη,"Noun, Feminine",agapé,ah-GAH-pay,(ag-ah'-pay),"(feast of) charity(-ably), dear, love",[from,"love, beloved, love feasts, love's"
G27,ἀγαπητός,Adjective,agapétos,ah-gah-pay-TOS,(ag-ap-ay-tos'),"(dearly, well) beloved, dear",[from,"beloved, very dear"
G28,Ἁγάρ,"Proper Noun, Indeclinable",Hagar,hah-GAR,(ag'-ar),Hagar,[of Hebrew origin (,Hagar
G29,ἀγγαρεύω,Verb,aggareuó,ang-gar-YOO-oh,(ang-ar-yew'-o),compel (to go),[of foreign origin],"pressed into service, forces"
G30,ἀγγεῖον,"Noun, Neuter",aggeion,ang-GAY-on,(ang-eye'-on),vessel,"[from aggos ""a pail"" (perhaps as bent)]",flasks
G31,ἀγγελία,"Noun, Feminine",aggelia,ang-gel-ee'-ah,(ang-el-ee'-ah),message,[from,
G32,ἄγγελος,"Noun, Masculine",aggelos,ANG-gel-os,(ang'-el-os),"angel, messenger","[from aggello ""to bring tidings"" (possibly derived from",
G33,αἰών,"Noun, Masculine",aiōn,ah-ee-OWN,(ag'-eh),go to,[imperative of,come
G34,ἀγέλη,"Noun, Feminine",agelé,ah-GEH-lay,(ag-el'-ay),herd,[from,herd
G35,ἀγενεαλόγητος,Adjective,agenealogétos,ah-gen-eh-al-OG-ay-tos,(ag-en-eh-al-og'-ay-tos),without descent,[from,without genealogy
G36,ἀγενής,Adjective,agenés,ag-en-ACE,(ag-en-ace'),base things,[from,base things
G37,ἁγιάζω,Verb,hagiazó,hä-gē-ä'-zō,(hag-ee-ad'-zo),"hallow, be holy, sanctify",[from,"sanctified, sanctify, hallowed, sanctifies, keep himself holy"
G38,ἁγιασμός,"Noun, Masculine",hagiasmos,hah-ghee-as-MOS,(hag-ee-as-mos'),"holiness, sanctification",[from,"sanctification, sanctifying work, sanctity"
G39,ἅγιον,Noun (Neuter),hagion,HA-gee-on,(hag'-ee-on),"holiest (of all), holy place, sanctuary",[neuter of,
G40,ἅγιος,Adjective,hagios,HA-gee-os,(hag'-ee-os),"(most) holy (one, thing), saint","[from hagos ""an awful thing""]","Holy, saints, holy place, holy one, sanctuary, Holy of Holies"
G41,ἁγιότης,"Noun, Feminine",hagiotés,hah-gee-OT-ace,(hag-ee-ot'-ace),holiness,[from,holiness
G42,ἁγιωσύνη,"Noun, Feminine",hagiósuné,hah-gee-o-soo'-nay,(hag-ee-o-soo'-nay),holiness,[from,holiness
G43,ἀγκάλη,"Noun, Feminine",agkalé,ang-KAH-lay,(ang-kal'-ay),arm,"[from agkos ""a bend"", (""ache"")]",arms
G44,ἄγκιστρον,"Noun, Neuter",agkistron,ang'-kis-tron,(ang'-kis-tron),hook,"[from agkos ""a bend"", (""ache"")]",hook
G45,ἄγκυρα,"Noun, Feminine",agkura,ANG-koo-rah,(ang'-koo-rah),anchor,"[from agkos ""a bend"", (""ache"")]","anchors, anchor"
G46,ἄγναφος,Adjective,agnaphos,ag-NAH-fos,(ag'-naf-os),new,[from,unshrunk
G47,ἁγνεία,"Noun, Feminine",hagneia,hag-NAY-ah,(hag-ni'-ah),purity,[from,purity
G48,ἁγνίζω,Verb,hagnizó,hag-NEE-zo,(hag-nid'-zo),purify (self),[from,"purify, purified, purifies, purifying"
G49,ἁγνισμός,"Noun, Masculine",hagnismos,hag-nis-MOS,(hag-nis-mos'),purification,[from,purification
G50,ἀγνοέω,Verb,agnoeó,ag-no-eh'-o,(ag-no-eh'-o),"(be) ignorant(-ly), not know, not understand, unknown",[from,"unaware, ignorant, know, knowing, understand, uninformed, unknown"
G51,ἀγνόημα,"Noun, Neuter",agnoéma,ag-no'-ay-mah,(ag-no'-ay-mah),error,[from,"ignorance, sins"
G52,ἀγνοία,"Noun, Feminine",agnoia,ag-no-ee'-ah,(ag'-noy-ah),ignorance,[from,ignorance
G53,ἁγνός,Adjective,hagnos,hag-nos',(hag-nos'),"chaste, clean, pure","[from hagos ""an awful thing""]","pure, chaste, free from sin, innocent"
G54,ἁγνότης,"Noun, Feminine",hagnotés,hag-NO-tace,(hag-not'-ace),pureness,[from,purity
G55,ἁγνός,Adverb,hagnós,hag-NOS,(hag-noce'),sincerely,[adverb from,pure motives
G56,ἀγνωσία,"Noun, Feminine",agnósia,ag-no-see'-ah,(ag-no-see'-ah),"ignorance, not the knowledge",[from,"ignorance, no knowledge"
G57,ἄγνωστος,Adjective,agnóstos,ag'-no-stos,(ag'-noce-tos'),unknown,[from,unknown
G58,ἀγορά,"Noun, Feminine",agora,ag-or-ah',(ag-or-ah'),"market(-place), street","[from ageiro, ""to gather"" (probably akin to","market places, market place"
G59,ἀγοράζω,Verb,agorazó,ag-or-AD-zo,(ag-or-ad'-zo),"buy, redeem",[from,"buy, bought, buying, purchased, buys, make the purchase, spend"
G60,ἀγοραῖος,Adjective,agoraios,ag-or-ah'-yos,(ag-or-ah'-yos),"baser sort, low",[from,"courts, market place"
G61,ἄγρα,"Noun, Feminine",agra,AH-grah,(ag'-rah),draught,[from,catch
G62,ἀγράμματος,Adjective,agrammatos,ah-GRAH-mah-tos,(ag-ram-mat-os),unlearned,[from,uneducated
G63,ἀγραυλέω,Verb,agrauleó,ag-row-leh'-o,(ag-row-leh'-o),abide in the field,[from,staying out in the fields
G64,ἀγρεύω,Verb,agreuó,ä-gre'-ō,(ag-rew'-o),catch,[from,trap
G65,ἀγριέλαιος,"Noun, Feminine",agrielaios,ag-ree-EL-ah-yos,(ag-ree-el'-ah-yos),olive tree (which is) wild,[from,"what, wild olive, wild olive tree"
G66,ἄγριος,Adjective,agrios,AG-ree-os,(ag'-ree-os),"wild, raging",[from,wild
G67,Ἀγρίππας,"Noun, Masculine",Agrippas,ag-RIP-pas,(ag-rip'-pas),Agrippa,[apparently from,Agrippa
G68,ἀγρός,"Noun, Masculine",agros,ä-gro's,(ag-ros'),"country, farm, piece of ground, land",[from,"field, country, countryside, farms, fields, farm, piece of land"
G69,ἀγρυπνέω,Verb,agrupneó,ag-roop-NEH-o,(ag-roop-neh'-o),watch,[ultimately from,"keep on the alert, alert, keep watch"
G70,ἀγρυπνία,"Noun, Feminine",agrupnia,ah-groop-NEE-ah,(ag-roop-nee'-ah),watch,[from,"sleepless nights, sleeplessness"
G71,ἄγω,Verb,agó,ä'-gō,(ag'-o),"be, bring (forth), carry, (let) go, keep, lead away, be open",[a primary verb],"brought, led, bring, go, bringing, going, arrest"
G72,ἀγωγή,"Noun, Feminine",agógé,ag-o-GAY,(ag-o-gay'),manner of life,[reduplicated from,conduct
G73,ἀγών,"Noun, Masculine",agón,ah-GONE,(ag-one'),"conflict, contention, fight, race",[from,"fight, conflict, opposition, race, struggle"
G74,ἀγωνία,"Noun, Feminine",agónia,ah-go-NEE-ah,(ag-o-nee'-ah),agony,[from,agony
G75,ἀγωνίζομαι,Verb,agónizomai,ah-go-NEE-zoh-my,(ag-o-nid'-zom-ahee),"fight, labor fervently, strive",[from,"strive, competes in the games, fight, fighting, fought, laboring earnestly, striving"
G76,Ἀδάμ,"Proper Noun, Indeclinable",Adam,ah-DAHM,(ad-am'),Adam,[of Hebrew origin (,Adam
G77,ἀδάπανος,Adjective,adapanos,ah-DAH-pah-nos,(ad-ap'-an-os),without expense,[from,without charge
G78,Ἀδδί,"Proper Noun, Indeclinable",Addi,ad-DEE,(ad-dee'),Addi,[probably of Hebrew origin],Addi
G79,ἀδελφή,"Noun, Feminine",adelphé,ah-del-FAY,(ad-el-fay'),sister,[feminine of,"sister, sisters, believing"
G80,ἀδελφός,"Noun, Masculine",adelphos,ah-del-FOS,(ad-el-fos'),brother,[from,"brethren, brother, brothers, brother's, believing husband"
G81,ἀδελφότης,"Noun, Feminine",adelphotés,ah-del-fo-TAYS,(ad-el-fot'-ace),"brethren, brotherhood",[from,"brethren, brotherhood"
G82,ἀδήλως,Adjective,adélos,ah-DAY-los,(ad'-ay-los),"appear not, uncertain",[from,"concealed, indistinct"
G83,ἀδηλότης,"Noun, Feminine",adélotés,ah-day-LO-tace,(ad-ay-lot'-ace),X uncertain,[from,uncertainty
G84,ἀδήλως,Adverb,adélós,ah-DAY-los,(ad-ay'-loce),uncertainly,[adverb from,without aim
G85,ἀδημονέω,Verb,adémoneó,ah-day-mon-eh'-o,(ad-ay-mon-eh'-o),"be full of heaviness, be very heavy","[from a derivative of adeo ""to be sated to loathing""]","distressed, troubled"
G86,ᾅδης,"Noun, Masculine",hadés,hah'-dace,(hah'-dace),"grave, hell",[from,Hades
G87,ἀδιάκριτος,Adjective,adiakritos,ah-dee-AH-kree-tos,(ad-ee-ak'-ree-tos),without partiality,[from,unwavering
G88,ἀδιάλειπτος,Adjective,adialeiptos,ah-dee-ah'-lipe-tos,(ad-ee-al'-ipe-tos),"without ceasing, continual",[from,"constantly, unceasing"
G89,ἀδιάλειπτος,Adverb,adialeiptós,ah-dee-ah-LIPE-tos,(ad-ee-al-ipe'-toce),without ceasing,[adverb from,"constantly, unceasingly, without ceasing"
G90,ἀδιαφθορία,"Noun, Feminine",adiaphthoria,ah-dee-af-tho-REE-ah,(ad-ee-af-thor-ee'-ah),uncorruptness,[from a derivative of a compound of,
G91,ἀδικέω,Verb,adikeó,ä-dē-ke'-ō,(ad-ee-keh'-o),"hurt, injure, be an offender, be unjust, (do, suffer, take) wrong",[from,"harm, hurt, wronged, does wrong, done wrong, injure, wrong"
G92,ἀδίκημα,"Noun, Neuter",adikéma,ah-dee'-kay-mah,(ad-eek'-ay-mah),"evil doing, iniquity, matter of wrong",[from,"iniquities, misdeed, wrong"
G93,ἀδικία,"Noun, Feminine",adikia,ah-dee-KEE-ah,(ad-ee-kee'-ah),"iniquity, unjust, unrighteousness, wrong",[from,"unrighteousness, wickedness, iniquity, unrighteous, doing wrong, evildoers, iniquities"
G94,ἄδικος,Adjective,adikos,ä'-dē-kos,(ad'-ee-kos),"unjust, unrighteous",[from,"unrighteous, unjust, wicked"
G95,ἄδικος,Adverb,adikós,ah-DEE-kos,(ad-ee'-koce),wrongfully,[adverb from,unjustly
G96,ἀδόκιμος,Adjective,adokimos,ah-DOK-ee-mos,(ad-ok'-ee-mos),"castaway, rejected, reprobate",[from,
G97,ἄδολος,Adjective,adolos,AH-doh-los,(ad'-ol-os),sincere,[from,pure
G98,Ἀδραμυττηνός,Adjective,Adramutténos,ah-drah-moot-TAY-nos,(ad-ram-oot-tay-nos'),of Adramyttium,[from Adramutteion (a place in Asia Minor)],Adramyttian
G99,Ἀδρίας,"Noun, Masculine",Adrias,ä-dree-äs',(ad-ree'-as),Adria,[from Adria (a place near its shore)],Adriatic
G100,ἁδρότης,"Noun, Feminine",hadrotés,hah-DRO-tace,(had-rot'-ace),abundance,"[from hadros ""stout""]",generous gift
G101,ἀδυνατέω,Verb,adunateó,ah-doo-nat-EH-oh,(ad-oo-nat-eh'-o),be impossible,[from,impossible
G102,ἀδύνατος,Adjective,adunatos,ah-DOO-nah-tos,(ad-oo'-nat-os),"could not do, impossible, impotent, not possible, weak",[from,"impossible, could not do, no strength, things that are impossible, without strength"
G103,ἄδω,Verb,adó,ah'-do,(ad'-o),sing,[a primary verb],"sang, singing"
G104,ἀεί,Adverb,aei,ah-AY,(ah-eye'),"always, ever","[from an obsolete primary noun apparently meaning ""continued duration""]","always, constantly"
G105,ἀετός,"Noun, Masculine",aetos,ah-et-OS,(ah-et-os'),eagle,"[from aemi ""to breathe unconsciously"" i.e. respire]","eagle, vultures"
G106,ἄζυμος,Adjective,azumos,AH-zoo-mos,(ad'-zoo-mos),unleavened (bread),[from,unleavened
G107,Ἀζώρ,"Proper Noun, Indeclinable",Azór,ah-ZOHR,(ad-zore'),Azorigin,[of Hebrew origin],Azor
G108,Ἄζωτος,"Noun, Feminine",Azótos,ah'-zo-tos,(ad'-zo-tos),Azotus,[of Hebrew origin (,Azotus
G109,ἀήρ,"Noun, Masculine",aér,ah-ayr',(ah-ayr'),air,"[from aemi ""to breathe unconsciously"", i.e. respire]",air
G110,ἀθανασία,"Noun, Feminine",athanasia,ath-an-as-ee'-ah,(ath-an-as-ee'-ah),immortality,[from a compound of,immortality
G111,ἀθέμιτος,Adjective,athemitos,ah-THEH-mee-tos,(ath-em'-ee-tos),"abominable, unlawful thing",[from,"abominable, unlawful"
G112,ἄθεος,Adjective,atheos,AH-theh-os,(ath'-eh-os),without God,[from,without God
G113,ἄθεσμος,Adjective,athesmos,ah'-thes-mos,(ath'-es-mos),wicked,[from,unprincipled men
G114,ἀθετέω,Verb,atheteó,ath-et-eh'-o,(ath-et-eh'-o),"cast off, despise, disannul, frustrate, bring to nought, reject",[from a compound of,"rejects, set aside, nullify, refuse, reject, rejected, rejecting"
G115,ἀθέτησις,"Noun, Feminine",athetésis,ah-thet'-ay-sis,(ath-et'-ay-sis),"disannulling, put away",[from,"put away, setting aside"
G116,Ἀθῆναι,"Noun, Feminine",Athénai,ah-THAY-nai,(ath-ay-nahee),Athens,"[plural of Athene (the goddess of wisdom, who was reputed to have founded the city)]",Athens
G117,Ἀθηναῖος,Adjective,Athénaios,ath-ay'-nah-yos,(ath-ay-nah'-yos),Athenian,[from,"Athenians, Athens"
G118,ἀθλέω,Verb,athleó,ath-leh'-o,(ath-leh'-o),strive,"[from athlos ""a contest in the public lists""]","competes, competes as an athlete"
G119,ἄθλησις,"Noun, Feminine",athlésis,ATH-lay-sis,(ath'-lay-sis),fight,[from,conflict
G120,ἀθυμέω,Verb,athumeo,ath-oo-meh'-o,(ath-oo-meh'-o),be dismayed,[from a compound of,
G121,ἀθῷος,Adjective,athóos,a-THO-os,(ath'-o-os),innocent,[from,innocent
G122,αἴγειος,Adjective,aigeios,ahee'-ghee-os,(ah'-ee-ghi-os),goat,"[from aix ""a goat""]",
G123,αἰγιαλός,"Noun, Masculine",aigialos,ahee-ghee-al-os',(ahee-ghee-al-os'),shore,"[from aisso ""to rush"" and",beach
G124,Αἰγύπτιος,Adjective,Aiguptios,ahee-GOOP-tee-os,(ahee-goop'-tee-os),Egyptian,[from,"Egyptian, Egyptians"
G125,Αἴγυπτος,"Noun, Feminine",Aiguptos,ah'-ee-goop-tos,(ah'-ee-goop-tos),Egypt,[of uncertain derivation],Egypt
G126,ἀΐδιος,Adjective,aidios,ah-ee'-dee-os,(ah-id'-ee-os),"eternal, everlasting",[from,eternal
G127,αἰδώς,"Noun, Feminine",aidós,ah-ee-DOS,(ahee-doce'),"reverence, shamefacedness",[perhaps from,modestly
G128,Αἰθίοψ,"Noun, Masculine",Aithiops,ah-ee-thee'-ops,(ahee-thee'-ops),Ethiopian,"[from aitho ""to scorch"" and ops ""the face"" (from","Ethiopian, Ethiopians"
G129,αἷμα,"Noun, Neuter",haima,HAH-ee-mah,(hah'-ee-mah),blood,[of uncertain derivation],blood
G130,αἱματεκχυσία,"Noun, Feminine",haimatekchusia,hi-mah-tek-khoo-SEE-ah,(hahee-mat-ek-khoo-see'-ah),shedding of blood,[from,shedding of blood
G131,αἱμορροέω,Verb,haimorroeó,hahee-mor-ro-eh'-o,(hahee-mor-hreh'-o),diseased with an issue of blood,[from,suffering from a hemorrhage
G132,Αἰνέας,"Noun, Masculine",Aineas,ahee-neh'-as,(ahee-neh'-as),Aeneas,[of uncertain derivation],Aeneas
G133,αἴνεσις,"Noun, Feminine",ainesis,ah'-ee-nes-is,(ah'-ee-nes-is),praise,[from,praise
G134,αἰνέω,Verb,aineó,ahee-neh'-o,(ahee-neh'-o),praise,[from,"praising, praise, give praise"
G135,αἴνιγμα,"Noun, Neuter",ainigma,ah'-ee-nig-mah,(ah'-ee-nig-ma),X darkly,[from a derivative of,dimly
G136,αἶνος,"Noun, Masculine",ainos,AH-ee-nos,(ah'-ee-nos),praise,[apparently a primary word],praise
G137,Αἰνών,"Proper Noun, Indeclinable",Ainón,ah-ee-NONE,(ahee-nohn'),Ænon,[of Hebrew origin (a derivative of,Aenon
G138,αἱρέω,Verb,haireó,hahee-reh'-o,(hahee-reh'-om-ahee),choose,[probably akin to,"choose, choosing, chosen"
G139,αἵρεσις,"Noun, Feminine",hairesis,hah'-ee-res-is,(hah'-ee-res-is),"heresy (which is the Greek word itself), sect",[from,"sect, factions, heresies"
G140,αἱρετίζω,Verb,hairetizó,hahee-ret-ID-zo,(hahee-ret-id'-zo),choose,[from a derivative of,chosen
G141,αἱρετικός,Adjective,hairetikos,hi-re-ti-kos',(hahee-ret-ee-kos'),heretic (the Greek word itself),[from a derivative of,factious
G142,αἴρω,Verb,airó,ah'-ee-ro,(ah'-ee-ro),"away with, bear (up), carry, lift up, loose, make to doubt, put away, remove, take (away, up)",[a primary root],"take, taken away, picked, pick, takes away, away, take away"
G143,αἰσθάνομαι,Verb,aisthanomai,ahee-sthan'-om-ahee,(ahee-sthan'-om-ahee),perceive,[of uncertain derivation],perceive
G144,αἴσθησις,"Noun, Feminine",aisthésis,ahee'-sthay-sis,(ah'-ee-sthay-sis),judgment,[from,discernment
G145,αἰσθητήριον,"Noun, Neuter",aisthétérion,ahee-sthay-tay'-ree-on,(ahee-sthay-tay'-ree-on),senses,[from a derivative of,senses
G146,αἰσχροκερδής,Adjective,aischrokerdés,ahee-skrok-er-DACE,(ahee-skhrok-er-dace'),given to (greedy of) filthy lucre,[from,"fond of sordid gain, sordid gain"
G147,αἰσχροκερδής,Adverb,aischrokerdós,ahee-skrok-er-DOS,(ahee-skhrok-er-doce'),for filthy lucre's sake,[adverb from,sordid gain
G148,αἰσχρολογία,"Noun, Feminine",aischrologia,ahee-skrol-og-ee'-ah,(ahee-skhrol-og-ee'-ah),filthy communication,[from,abusive speech
G149,αἰσχρόν,Adjective,aischron,ahee-skhron',(ahee-skhron'),shame,[neuter of,
G150,αἰσχρός,Adjective,aischros,ays-khros',(ahee-skhros'),filthy,"[from aischos ""disfigurement"" (i.e. disgrace)]","disgraceful, improper, sordid"
G151,αἰσχρότης,"Noun, Feminine",aischrotés,ahee-skhró-tace,(ahee-skhrot'-ace),filthiness,[from,filthiness
G152,αἰσχύνη,"Noun, Feminine",aischuné,ahee-skhoo-nay,(ahee-skhoo'-nay),"dishonesty, shame",[from,"shame, disgrace"
G153,αἰσχύνω,Verb,aischunó,ahee-skhoo'-no,(ahee-skhoo'-nom-ahee),be ashamed,"[from aischos ""disfigurement"" (i.e. disgrace)]","ashamed, put to shame, shame, shrink"
G154,αἰτέω,Verb,aiteó,ahee-teh'-o,(ahee-teh'-o),"ask, beg, call for, crave, desire, require",[of uncertain derivation],"ask, asked, asking, asks, beg, called, making a request"
G155,αἴτημα,"Noun, Neuter",aitéma,ah'-ee-tay-mah,(ah'-ee-tay-mah),"petition, request, required",[of the same uncertain derivation as,"requests, demand"
G156,αἰτία,"Noun, Feminine",aitia,ah-ee-TEE-ah,(ahee-tee'-a),"accusation, case, cause, crime, fault, (wh-)ere(-fore)",[of the same uncertain derivation as,"reason, guilt, charge against, charges, ground, charge, relationship"
G157,αἴτημα,"Noun, Neuter",aitiama,ah-ee'-tay-mah,(ahee-tee'-am-ah),complaint,[from a derivative of,
G158,αἴτιον,"Noun, Neuter",aition,ah'-ee-tee-on,(ah'-ee-tee-on),"cause, fault",[neuter of,
G159,αἴτιος,Adjective,aitios,AHY-tee-os,(ah'-ee-tee-os),author,[of the same uncertain derivation as,
G160,αἰφνίδιος,Adjective,aiphnidios,aheef-NEE-dee-os,(aheef-nid'-ee-os),"sudden, unawares",[from a compound of,suddenly
G161,αἰχμαλωσία,"Noun, Feminine",aichmalósia,aheekh-mal-o-SEE-ah,(aheekh-mal-o-see'-ah),captivity,[from,"captivity, host of captives"
G162,αἰχμαλωτεύω,Verb,aichmalóteuó,aheekh-mal-o-TEH-oo,(aheekh-mal-o-tew'-o),lead captive,[from,led captive
G163,αἰχμαλωτίζω,Verb,aichmalótizó,aikh-mal-o-TID-zo,(aheekh-mal-o-tid'-zo),"lead away captive, bring into captivity",[from,"captivate, led captive, making a prisoner, taking captive"
G164,αἰχμάλωτος,"Noun, Masculine",aichmalótos,aikh-mah-LO-tos,(aheekh-mal-o-tos'),captive,"[from aichme ""a spear"" and a derivative of the same as",captives
G165,αἰών,"Noun, Masculine",aión,ah-ee-OWN,(ahee-ohn'),"age, course, eternal, (for) ever(-more), (n-)ever, (beginning of the , while the) world (began, without end)","[from an obsolete primary noun apparently meaning ""continued duration""]","forever, age, forever and ever, world, ages, eternal, forevermore"
G166,αἰώνιος,Adjective,aiónios,ahee-OH-nee-os,(ahee-o'-nee-os),"eternal, for ever, everlasting, world (began)",[from,"eternal, eternity, forever"
G167,ἀκαθαρσία,"Noun, Feminine",akatharsia,ah-kath-ar-SEE-ah,(ak-ath-ar-see'-ah),uncleanness,[from,"impurity, uncleanness"
G168,ἀκαθαρτής,"Noun, Masculine",akathartés,ah-kah-thar-TAYS,(ak-ath-ar'-tace),filthiness,[from,
G169,ἀκάθαρτος,Adjective,akathartos,ah-KAH-thar-tos,(ak-ath'-ar-tos),"foul, unclean",[from,"unclean, impure person, unclean things"
G170,ἀκαιρέομαι,Verb,akaireomai,ah-kai-reh'-om-ahee,(ak-ahee-reh'-om-ahee),lack opportunity,[from a compound of,lacked opportunity
G171,ἀκαίρως,Adverb,akairós,ah-kah-ee-ROS,(ak-ah'-ee-roce),out of season,[adverb from a compound of,season
G172,ἀκάκος,Adjective,akakos,ah-KAH-kos,(ak'-ak-os),"harmless, simple",[from,"innocent, unsuspecting"
G173,ἄκανθα,"Noun, Feminine",akantha,ä'-kan-thä,(ak'-an-thah),thorn,"[probably from the noun acme, akin to ake ""a point"" and meaning the same]","thorns, thorn"
G174,ἀκανθίνιος,Adjective,akanthinos,ah-kan-THEE-nos,(ak-an'-thee-nos),of thorns,[from,thorns
G175,ἄκαρπος,Adjective,akarpos,ah-KAR-pos,(ak'-ar-pos),"without fruit, unfruitful",[from,"unfruitful, without fruit"
G176,ἀκατάγνωστος,Adjective,akatagnóstos,ah-kah-tahg'-no-stos,(ak-at-ag'-noce-tos),that cannot be condemned,[from,beyond reproach
G177,ἀκατακάλυπτος,Adjective,akatakaluptos,ah-kah-tah-KAH-loo-ptos,(ak-at-ak-al'-oop-tos),uncovered,[from,uncovered
G178,ἀκατάκριτος,Adjective,akatakritos,ah-kah-TAH-kree-tos,(ak-at-ak'-ree-tos),uncondemned,[from,"uncondemned, without trial"
G179,ἀκατάλυτος,Adjective,akatalutos,ah-kah-TAH-loo-tos,(ak-at-al'-oo-tos),endless,[from,indestructible
G180,ἀκατάπαυστος,Adjective,akatapaustos,ah-kah-TAH-pow-stos,(ak-at-ap'-ow-stos),that cannot cease,[from,never cease
G181,ἀκαταστασία,"Noun, Feminine",akatastasia,ah-kah-tah-stah-SEE-ah,(ak-at-as-tah-see'-ah),"commotion, confusion, tumult",[from,"disturbances, confusion, disorder, tumults"
G182,ἀκατάστατος,Adjective,akatastatos,ah-kah-TAS-tah-tos,(ak-at-as'-tat-os),unstable,[from,"restless, unstable"
G183,ἀκατάσχετος,Adjective,akataschetos,ah-kah-TAS-khe-tos,(ak-at-as'-khet-os),unruly,[from,
G184,Ἁκελδαμάχ,"Proper Noun, Indeclinable",Hakeldamach,hak-el-dam-akh',(ak-el-dam-ah'),Aceldama,"[of Chaldee origin (meaning field of blood, corresponding to",Hakeldama
G185,ἀκέραιος,Adjective,akeraios,ah-KEH-rah-yos,(ak-er'-ah-yos),"harmless, simple",[from,innocent
G186,ἀκλινής,Adjective,aklinés,ah-klee-NAYS,(ak-lee-nace'),without wavering,[from,without wavering
G187,ἀκμάζω,Verb,akmazó,ak-MAD-zo,(ak-mad'-zo),be fully ripe,"[accusative case of a noun acme akin to ake ""a point"" and meaning the same]",ripe
