strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,Word Origin,NASB
G4121,πλεονάζω,Verb,pleonazó,pleh-on-AD-zo,(pleh-on-ad'-zo),"abound, abundant, make to increase, have over",[from,"increase, grows greater, have too much, increased, increases, increasing, spreading"
G4122,πλεονεκτέω,Verb,pleonekteó,pleh-on-ek-teh'-o,(pleh-on-cek-teh'-o),"get an advantage, defraud, make a gain",[from,"advantage would be taken of, defraud, take any advantage, taken advantage, took advantage"
G4123,πλεονέκτης,"Noun, Masculine",pleonektés,pleh-on-EK-tace,(pleh-on-ek'-tace),covetous,[from,"covetous, covetous man"
G4124,πλεονεξία,"Noun, Feminine",pleonexia,pleh-on-ex-ee'-ah,(pleh-on-ex-ee'-ah),"covetous(-ness) practices, greediness",[from,"greed, covetousness, deeds of coveting, greediness"
G4125,πλευρά,"Noun, Feminine",pleura,PLOO-rah,(plyoo-rah'),side,[of uncertain affinity],side
G4126,πλέω,Verb,pleó,pleh'-o,(pleh'-o),sail,[probably a form of,"sailing, sail"
G4127,πληγή,"Noun, Feminine",plégé,play-GAY,(play-gay'),"plague, stripe, wound(-ed)",[from,"plagues, plague, wound, beaten, beatings, blows, flogging"
G4128,πλῆθος,"Noun, Neuter",pléthos,PLAY-thos,(play'-thos),"bundle, company, multitude",[from,"multitude, people, congregation, crowd, number of people, assembly, body"
G4129,πληθύνω,Verb,pléthunó,play-thoo'-no,(play-thoo'-no),"abound, multiply",[from another form of,"multiplied, increase, fullest measure, increased, increasing, multiply, surely multiply"
G4130,πληθύνω,Verb,plēthynō,play-thoo'-no,(play'-tho),"accomplish, full (come), furnish",[a prolonged form of a primary pleo  pleh'-o appears only as an alternate in certain tenses and in the reduplicated form pimplemi],
G4131,πλήκτης,"Noun, Masculine",pléktés,playk-tace',(plake'-tace),striker,[from,pugnacious
G4132,πλῆμμυρα,"Noun, Feminine",plémmura,PLAYM-moo-rah,(plame-moo'-rah),flood,[prolonged from,flood
G4133,πλήν,Adverb,plén,playn,(plane),"but (rather), except, nevertheless, notwithstanding, save, than",[from,"nevertheless, however, yet, except, besides, only, than"
G4134,πλήρης,Adjective,plérés,play-RACE,(play'-race),full,[from,"full, abounding, covered, filled, mature"
G4135,πληροφορέω,Verb,plérophoreó,play-rof-or-eh'-o,(play-rof-or-eh'-o),"most surely believe, fully know (persuade), make full proof of",[from,"fully assured, accomplished, fulfill, fully accomplished, fully convinced"
G4136,πληροφορία,"Noun, Feminine",plérophoria,play-rof-or-ee'-ah,(play-rof-or-ee'-ah),(full) assurance,[from,"full assurance, conviction"
G4137,πληρόω,Verb,pléroó,play-ro'-o,(play-ro'-o),"accomplish, X after, (be) complete, end, expire, fill (up), fulfil, (be, make) full (come), fully preach, perfect, supply",[from,"fulfill, fulfilled, filled, made full, completed, fill, made complete"
G4138,πλήρωμα,"Noun, Neuter",pléróma,play'-ro-mah,(play'-ro-mah),"which is put in to fill up, piece that filled up, fulfilling, full, fulness",[from,"fullness, fulfillment, full"
G4139,πλησίον,Adverb,plésion,play-see'-on,(play-see'-on),"near, neighbour",[neuter of a derivative of pelas (near)],"neighbor, near"
G4140,πλησμονή,"Noun, Feminine",plésmoné,play-smo-NAY,(place-mon-ay'),satisfying,[from a presumed derivative of,indulgence
