bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version,lit_type,test_type
1,Genesis1:5,WORD,,G2250,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G1520,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G2036,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G1722,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G1510,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:6,WORD,,G3779,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G4160,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3739,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G1510,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G5270,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G1883,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:7,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2564,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G3772,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G3708,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G3754,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2570,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
